holeDiameter,rectHeight,rectWidth,itemType,elementType,itemMaterial,cappedUncapped,itemDiameter,itemInsulation,insulationDiameter,supportType,supportThickness,supportDensityId,supportMaterial,fireSide,density.$id,density.id,density.thicknessId,density.thickness,density.minDensity,density.maxDensity,density.distances,fireRate,Y,Y_type
0.1,0.25,0.25,3,1,1,-1,0.1,,,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,3,1
0.1,0.25,0.25,0,1,1,-1,0.1,,,FLEXIBLE_WALL,0.05,31,0,0,13,4092,4090,,500,-1,,4,119,6
0.1,0.25,0.25,0,1,1,-1,0.1,,,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,3,1
0.205,0.25,0.25,0,1,-1,-1,0.2,,,CEILING,0.05,17,2,2,13,4092,4090,,500,-1,,4,3,1
0.205,0.25,0.25,0,1,1,-1,0.1,,,FLEXIBLE_WALL,0.05,31,0,0,13,4092,4090,,500,-1,,1,119,6
0.2,0.25,0.25,0,1,1,-1,0.2,,,FLOOR,0.2,33,2,2,10,4089,4087,,500,1599,,4,3,1
0.2,0.25,0.25,0,1,-1,-1,0.2,,,RIGID_WALL,0.2,10,0,0,13,4092,4090,,500,-1,,1,99,6
0.2,0.25,0.25,0,1,-1,-1,0.2,,,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,3,1
0.2,0.25,0.25,0,1,1,-1,0.1,,,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,119,6
0.2,0.25,0.25,3,1,-1,-1,0.028284271247461898,,,FLEXIBLE_WALL,0.1,30,0,0,13,4092,4090,,500,-1,,1,3,1
0.2,0.25,0.25,2,1,-1,-1,0.2,,,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,1,151,10
